Sample ID,Name,Count 4 Squares,Avg Cell Count,Dilution Factor,cells/mL,Volume (mL),Total Cell Count
SILP 1,SILP 1,81,20.25,10,2025000,1,2025000
SILP 2,SILP 2,91,22.75,10,2275000,1,2275000
SILP 3,SILP 3,25,6.25,10,625000,1,625000
SILP 4,SILP 4,36,9,10,900000,1,900000
SILP 5,SILP 5,9,2.25,10,225000,1,225000
SILP 6,SILP 6,102,25.5,10,2550000,1,2550000
SILP 7,SILP 7,52,13,10,1300000,1,1300000
SILP 8,SILP 8,94,23.5,10,2350000,1,2350000
SILP 9,SILP 9,,0,10,0,1,0
SILP 10,SILP 10,3,0.75,10,75000,1,75000
SILP 11,SILP 11,30,7.5,10,750000,1,750000
SILP 12,SILP 12,33,8.25,10,825000,1,825000
SILP 13,SILP 13,62,15.5,10,1550000,1,1550000
SILP 14,SILP 14,58,14.5,10,1450000,1,1450000
SILP 15,SILP 15,85,21.25,10,2125000,1,2125000
SILP 16,SILP 16,81,20.25,10,2025000,1,2025000
SILP 17,SILP 17,218,54.5,10,5450000,1,5450000
SILP 18,SILP 18,104,26,10,2600000,1,2600000
SILP 19,SILP 19,92,23,10,2300000,1,2300000
SILP 20,SILP 20,73,18.25,10,1825000,1,1825000
SILP 21,SILP 21,72,18,10,1800000,1,1800000
SILP 22,SILP 22,139,34.75,10,3475000,1,3475000
SILP 23,SILP 23,75,18.75,10,1875000,1,1875000
SILP 24,SILP 24,310,77.5,10,7750000,1,7750000
SILP 25,SILP 25,131,32.75,10,3275000,1,3275000
SILP 26,SILP 26,232,58,10,5800000,1,5800000
SILP 27,SILP 27,109,27.25,10,2725000,1,2725000
SILP 28,SILP 28,269,67.25,10,6725000,1,6725000
Sp 1,SP 1,181,45.25,20,9050000,10,90500000
Sp 2,SP 2,195,48.75,20,9750000,10,97500000
Sp 3,SP 3,285,71.25,20,14250000,10,142500000
Sp 4,SP 4,306,76.5,20,15300000,10,153000000
Sp 5,SP 5,227,56.75,20,11350000,10,113500000
Sp 6,SP 6,376,94,20,18800000,10,188000000
Sp 7,SP 7,268,67,20,13400000,10,134000000
Sp 8,SP 8,135,33.75,20,6750000,10,67500000
Sp 9,SP 9,160,40,20,8000000,10,80000000
Sp 10,SP 10,169,42.25,20,8450000,10,84500000
Sp 11,SP 11,214,53.5,20,10700000,10,107000000
Sp 12,SP 12,331,82.75,20,16550000,10,165500000
Sp 13,SP 13,366,91.5,20,18300000,10,183000000
Sp 14,SP 14,217,54.25,20,10850000,10,108500000
Sp 15,SP 15,202,50.5,20,10100000,10,101000000
Sp 16,SP 16,304,76,20,15200000,10,152000000
Sp 17,SP 17,333,83.25,20,16650000,10,166500000
Sp 18,SP18,356,89,20,17800000,10,178000000
Sp 19,SP19,375,93.75,20,18750000,10,187500000
Sp 20,SP20,133,33.25,20,6650000,10,66500000
Sp 21,SP21,160,40,20,8000000,10,80000000
Sp 22,SP22,259,64.75,20,12950000,10,129500000
Sp 23,SP23,200,50,20,10000000,10,100000000
Sp 24,SP24,152,38,20,7600000,10,76000000
Sp 25,SP25,168,42,20,8400000,10,84000000
Sp 26,SP26,73,18.25,20,3650000,10,36500000
Sp 27,SP27,190,47.5,20,9500000,10,95000000
Sp 28,SP28,161,40.25,20,8050000,10,80500000